"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.17863169463925e-05,0.454388904259006,0.535,0.214,1,"14","ZMIZ1"
6.21366194754613e-05,0.513574512517349,0.558,0.224,1,"14","UQCRC2"
6.32025764708174e-05,0.666456451696617,0.326,0.109,1,"14","LONP1"
6.34093080924894e-05,0.56201828062343,0.605,0.259,1,"14","RNF138"
6.36351247116675e-05,0.562365729474925,0.488,0.192,1,"14","CYTOR"
6.38652437129889e-05,0.609516991740627,0.512,0.201,1,"14","MDH2"
6.39743755392711e-05,0.629178575556778,0.349,0.122,1,"14","LILRB2"
6.41795736412235e-05,0.592704805474898,0.907,0.57,1,"14","MTDH"
6.42010721557468e-05,0.517817412711955,0.767,0.357,1,"14","SLC38A2"
6.56830014998283e-05,0.695784612688865,0.326,0.11,1,"14","HDAC5"
6.6450362268344e-05,0.727297551189479,0.372,0.133,1,"14","GLUL"
6.68682011747327e-05,0.487760411665996,0.558,0.224,1,"14","WIPI2"
6.75873678427984e-05,0.596632849976122,0.512,0.205,1,"14","PLP2"
6.76219829912902e-05,0.656689256964525,0.326,0.109,1,"14","COMMD3"
6.76280953820601e-05,0.578123453642617,0.512,0.202,1,"14","MAP7D1"
6.77654719497581e-05,0.374527539190491,0.326,0.106,1,"14","DDX55"
7.02565173949647e-05,0.625504636551032,0.953,0.539,1,"14","GRB2"
7.0743354220741e-05,0.696649522701023,0.302,0.099,1,"14","POLR2J"
7.09225583428588e-05,0.535538497200077,0.791,0.386,1,"14","BTAF1"
7.17927566636269e-05,0.772653656224906,0.279,0.088,1,"14","MRPL43"
7.2001249500228e-05,0.627998851999482,0.372,0.133,1,"14","SART1"
7.32923585182049e-05,0.484373135946359,0.651,0.282,1,"14","PPIP5K2"
7.5646765822396e-05,0.614834339745734,0.488,0.198,1,"14","PSMC6"
7.73588643960573e-05,0.315638884672673,0.395,0.139,1,"14","PQBP1"
7.75285112420298e-05,0.42136528138479,0.605,0.247,1,"14","MAP1LC3B"
7.75998834696719e-05,0.639357697253181,0.372,0.131,1,"14","LSG1"
7.84383407195267e-05,0.531903065729963,0.419,0.157,1,"14","HEXD"
7.97875787845181e-05,0.308148987419754,0.326,0.107,1,"14","GNL1"
8.0582632443512e-05,0.510619025101212,0.302,0.099,1,"14","AC018362.1"
8.20274175340056e-05,0.288492214553315,0.535,0.203,1,"14","NOP10"
8.30905802176408e-05,0.725836051034335,0.419,0.161,1,"14","ANAPC11"
8.33597976613768e-05,0.591524672082868,0.674,0.301,1,"14","CAPN2"
8.44542564480942e-05,0.498466577166187,0.977,0.598,1,"14","KDM2A"
8.66355278880915e-05,0.434815887389883,0.512,0.199,1,"14","CCT8"
8.84867697151256e-05,0.590168112175735,0.279,0.088,1,"14","RAVER1"
8.88213161269797e-05,0.52016424512695,0.465,0.179,1,"14","MRPS28"
8.89186121087583e-05,0.393271117564624,0.698,0.31,1,"14","CAPZA2"
8.89694950858058e-05,0.663664308894493,0.907,0.455,1,"14","JUND"
8.96409970563203e-05,0.416411803824914,0.605,0.244,1,"14","FKBP8"
9.00457785863476e-05,0.366712265290915,0.93,0.608,1,"14","CTSS"
9.0383531266773e-05,0.30487717640059,0.326,0.108,1,"14","THUMPD2"
9.04011762553368e-05,0.550720014710447,0.256,0.078,1,"14","ACOT8"
9.04214006069702e-05,0.764483027934638,0.302,0.102,1,"14","AL031428.1"
9.13737094659822e-05,0.722073313901153,0.279,0.09,1,"14","MON1B"
9.16567093864581e-05,0.55831513189788,0.395,0.146,1,"14","UBN2"
9.18076825075516e-05,0.457182374681081,0.744,0.351,1,"14","MAP2K1"
9.20674056829477e-05,0.385311299713106,0.674,0.288,1,"14","ACTN4"
9.311852724976e-05,0.645392441731181,0.744,0.373,1,"14","COX6A1"
9.47004144459078e-05,0.953188945104164,0.256,0.08,1,"14","AL450998.2"
9.53823796132093e-05,0.564146592944225,0.279,0.088,1,"14","CBR1"
9.54374061529812e-05,0.624276788020377,0.512,0.209,1,"14","GABARAPL2"
9.60039791334648e-05,0.25450885496719,0.535,0.225,1,"14","AC020916.1"
9.72117503925789e-05,0.494277464216702,0.465,0.181,1,"14","HEXA"
9.79383379041684e-05,1.21814797700548,0.256,0.081,1,"14","BRAT1"
9.82532138624985e-05,0.779115516577561,0.279,0.092,1,"14","LPAR1"
9.83475695098164e-05,0.666407906184482,0.465,0.185,1,"14","SNX17"
9.91694867975952e-05,0.500110316389366,0.651,0.282,1,"14","DYNC1I2"
9.93700295334061e-05,0.854391507093123,0.465,0.199,1,"14","CHMP1B"
9.94356527840837e-05,1.39735105861154,0.372,0.148,1,"14","CPNE3"
9.95039853500938e-05,0.99743501112856,0.349,0.131,1,"14","EPB41L3"
9.96405484715936e-05,0.611801359508795,0.419,0.162,1,"14","AC087286.2"
0.000100228580020438,0.606173373848213,0.488,0.196,1,"14","NAAA"
0.000100824940385151,0.485991421952615,0.302,0.099,1,"14","NUBP2"
0.000101984476035162,0.953856897131719,0.349,0.127,1,"14","ANXA4"
0.000102086358955774,0.591229819473152,0.767,0.395,1,"14","SERP1"
0.000102162574946394,0.53336807498622,0.279,0.09,1,"14","CASS4"
0.000103325215809051,0.957493545512448,0.581,0.273,1,"14","PIK3CB"
0.000103505100962779,0.396604301346136,0.442,0.166,1,"14","SPTLC1"
0.000104017910869219,0.880353115662215,0.349,0.13,1,"14","USP6NL"
0.000105295606319266,0.664239337365943,0.744,0.363,1,"14","LAMTOR4"
0.000105567375651466,0.649967811439747,0.837,0.443,1,"14","PSMA7"
0.000106740175958605,0.904310961942165,0.419,0.166,1,"14","DOP1B"
0.000107992438625429,0.930969711307339,0.419,0.168,1,"14","MARCKS"
0.000108108398680591,0.272219314531328,0.279,0.088,1,"14","WAKMAR2"
0.000108588211520405,0.657146890177415,0.535,0.223,1,"14","LYPLA1"
0.000109280164489033,0.548657393765828,0.535,0.218,1,"14","NARS"
0.000111949775758363,0.615228495787978,0.767,0.395,1,"14","VSIR"
0.000112102994979062,0.54232493110513,0.302,0.101,1,"14","SPNS1"
0.00011268303965628,0.349058596961473,0.419,0.153,1,"14","NUP62"
0.000113472468326304,0.529783941714211,0.837,0.395,1,"14","COPE"
